[11:58:51] [warning] Engine: Running in debug mode
[11:58:51] [info] Engine: Creating window Engine:  (800, 480)
[11:58:52] [info] Engine: OpenGL Info:
[11:58:52] [info] Engine:   Vendor: NVIDIA Corporation
[11:58:52] [info] Engine:   Renderer: GeForce GTX 1060 6GB/PCIe/SSE2
[11:58:52] [info] Engine:   Version: 4.6.0 NVIDIA 451.67
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
[11:58:55] [info] App: To sides
